obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-65.58526486,13.38813846,95.965,0,29.04246,-74.27793566,0.044823375,28.125,1
-65.58526486,13.38813846,99.535,215.4003952,29.04246,-74.27792532,1.156772642,28.125,2
-65.58526486,13.38813846,76.38688,215.4003952,14.36794,-74.27792532,1.156772642,-0.70312,3
-65.58526486,13.38813846,108.40938,215.4003952,22.9382,-74.27792532,1.156772642,24.60938,4
-65.58526486,13.38813846,54.66062,215.4003952,19.16674,-74.27792532,1.156772642,-35.85938,5
-65.58526486,13.38813846,129.07375,215.4003952,30.95233,-74.27792532,1.156772642,32.34375,6
-65.58526486,13.38813846,122.51375,215.4003952,19.68669,-74.27792532,1.156772642,21.09375,7
-65.58526486,13.38813846,155.745,215.4003952,28.97512,-74.27792532,1.156772642,50.625,8
-64.71601019,13.38813137,162.46375,218.0161883,29.68108,-74.27792532,1.156772642,54.84375,9
-64.71601019,13.38813137,163.81375,218.0161883,30.52494,-74.27792532,1.156772642,54.84375,10
-63.84675552,13.38812437,163.68062,220.4578125,28.78991,-74.27792532,1.156772642,54.14062,11
-62.97750962,12.2761682,167.33625,225.4621314,25.50349,-74.27792532,1.156772642,57.65625,12
-62.10825483,12.2761614,123.5825,227.5816869,26.56578,-74.27792532,1.156772642,14.0625,13
-61.23900004,12.27615468,144.54625,229.5425329,29.62716,-74.27792532,1.156772642,35.15625,14
-60.36975365,11.1641988,140.4575,234.2631714,27.27845,-74.27792532,1.156772642,30.9375,15
-59.50049874,11.16419228,140.8075,235.8932915,27.27845,-74.27792532,1.156772642,30.9375,16
-57.76198892,11.16417951,144.56,238.7868534,28.19379,-74.27792532,1.156772642,33.75,17
-56.89274193,10.05222401,149.18562,242.9021458,25.46447,-74.27792532,1.156772642,37.26562,18
-56.02348689,10.05221786,150.30562,244.0194263,25.46447,-74.27792532,1.156772642,37.26562,19
-54.28497683,10.05220586,92.42,246.0139055,20.68262,-74.27792532,1.156772642,-22.5,20
-53.41572923,8.940250729,114.16062,249.5395063,19.19265,-74.27792532,1.156772642,-2.10938,21
-52.54647407,8.940244962,115.00062,250.2937444,20.13719,-74.27792532,1.156772642,-2.10938,22
-52.54647407,8.940244962,116.02062,250.2937444,14.61074,-74.27792532,1.156772642,-2.10938,23
-51.67722612,7.828290024,162.8475,253.553442,23.19236,-74.27792532,1.156772642,42.1875,24
-50.80797084,7.828284447,122.35062,254.1313571,9.04272,-74.27792532,1.156772642,-2.10938,25
-50.80797084,7.828284447,128.47688,254.1313571,13.50943,-74.27792532,1.156772642,-0.70312,26
-50.80797084,7.828284447,131.84062,254.1313571,13.0504,-74.27792532,1.156772642,-2.10938,27
-49.93871557,7.828278965,182.97688,254.6709789,19.70116,-74.27792532,1.156772642,44.29688,28
