obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-16.90704806,-7.739148999,191.545,0,27.11421,-65.58670759,-162.2998456,50.625,1
-16.90704806,-7.739148999,190.895,197.481943,27.11421,-65.58670759,-162.2998456,50.625,2
-16.90704806,-7.739148999,138.94688,197.481943,6.61359,-65.58670759,-162.2998456,-0.70312,3
-17.77630503,-7.739147112,192.5175,197.1883124,24.62635,-65.58670759,-162.2998456,53.4375,4
-17.77630503,-7.739147112,137.75688,197.1883124,7.59614,-65.58670759,-162.2998456,-0.70312,5
-17.77630503,-7.739147112,137.19688,197.1883124,7.59614,-65.58670759,-162.2998456,-0.70312,6
-17.77630503,-7.739147112,190.06438,197.1883124,26.97832,-65.58670759,-162.2998456,52.73438,7
-17.77630503,-7.739147112,191.56375,197.1883124,27.81178,-65.58670759,-162.2998456,54.84375,8
-17.77630503,-7.739147112,191.00375,197.1883124,32.13606,-65.58670759,-162.2998456,54.84375,9
-17.77630503,-7.739147112,190.40375,197.1883124,32.13606,-65.58670759,-162.2998456,54.84375,10
-17.77630503,-7.739147112,192.59625,197.1883124,28.30493,-65.58670759,-162.2998456,57.65625,11
-17.77630503,-7.739147112,187.08438,197.1883124,25.93651,-65.58670759,-162.2998456,52.73438,12
-17.77630503,-7.739147112,180.20625,197.1883124,25.28588,-65.58670759,-162.2998456,46.40625,13
-18.645562,-7.73914513,179.61625,196.8937478,23.90241,-65.58670759,-162.2998456,46.40625,14
-18.645562,-7.73914513,185.38438,196.8937478,20.56754,-65.58670759,-162.2998456,52.73438,15
-18.645562,-7.73914513,176.35688,196.8937478,26.55491,-65.58670759,-162.2998456,44.29688,16
-18.645562,-7.73914513,175.83688,196.8937478,26.28505,-65.58670759,-162.2998456,44.29688,17
-18.645562,-7.73914513,183.03125,196.8937478,23.34846,-65.58670759,-162.2998456,52.03125,18
-18.645562,-7.73914513,176.91625,196.8937478,26.72313,-65.58670759,-162.2998456,46.40625,19
-18.645562,-7.73914513,176.39625,196.8937478,26.72313,-65.58670759,-162.2998456,46.40625,20
