obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-11.6914981,-2.179412005,176.56688,0,8.13439,-68.19450048,-158.963976,-0.70312,1
-11.6914981,-2.179412005,176.23688,199.8183587,9.82769,-68.19450048,-158.963976,-0.70312,2
-11.6914981,-2.179412005,195.61438,199.8183587,30.853,-68.19450048,-158.963976,18.98438,3
-11.6914981,-2.179412005,197.40375,199.8183587,27.88346,-68.19450048,-158.963976,21.09375,4
-11.6914981,-2.179412005,199.16312,199.8183587,33.5629,-68.19450048,-158.963976,23.20312,5
-11.6914981,-2.179412005,200.9225,199.8183587,31.41992,-68.19450048,-158.963976,25.3125,6
-11.6914981,-2.179412005,197.75,199.8183587,29.95466,-68.19450048,-158.963976,22.5,7
-11.6914981,-2.179412005,193.20125,199.8183587,24.72093,-68.19450048,-158.963976,18.28125,8
-11.6914981,-2.179412005,192.18812,199.8183587,25.74589,-68.19450048,-158.963976,17.57812,9
-11.6914981,-2.179412005,196.07688,199.8183587,25.73726,-68.19450048,-158.963976,21.79688,10
-11.6914981,-2.179412005,194.36062,199.8183587,29.02544,-68.19450048,-158.963976,20.39062,11
-11.69149648,-1.067462739,194.76375,199.6895575,30.05939,-68.19450048,-158.963976,21.09375,12
-11.69149648,-1.067462739,194.41375,199.6895575,30.05908,-68.19450048,-158.963976,21.09375,13
-11.69149648,-1.067462739,184.26,199.6895575,29.25711,-68.19450048,-158.963976,11.25,14
-11.69149648,-1.067462739,195.90312,199.6895575,32.77353,-68.19450048,-158.963976,23.20312,15
-11.69149648,-1.067462739,196.26625,199.6895575,32.28646,-68.19450048,-158.963976,23.90625,16
-11.69149648,-1.067462739,169.94062,199.6895575,12.24013,-68.19450048,-158.963976,-2.10938,17
-11.69149648,-1.067462739,171.03688,199.6895575,11.44788,-68.19450048,-158.963976,-0.70312,18
-11.69149648,-1.067462739,170.72688,199.6895575,7.84899,-68.19450048,-158.963976,-0.70312,19
-11.69149648,-1.067462739,192.22375,199.6895575,30.33219,-68.19450048,-158.963976,21.09375,20
-11.69149648,-1.067462739,168.74062,199.6895575,8.77829,-68.19450048,-158.963976,-2.10938,21
-11.69149648,-1.067462739,168.40062,199.6895575,11.68454,-68.19450048,-158.963976,-2.10938,22
-11.69149648,-1.067462739,169.49688,199.6895575,8.37801,-68.19450048,-158.963976,-0.70312,23
-11.69149648,-1.067462739,167.76062,199.6895575,8.32812,-68.19450048,-158.963976,-2.10938,24
-11.69149648,-1.067462739,167.44062,199.6895575,8.3279,-68.19450048,-158.963976,-2.10938,25
-11.69149648,-1.067462739,167.14062,199.6895575,8.19998,-68.19450048,-158.963976,-2.10938,26
-11.69149648,-1.067462739,165.40438,199.6895575,11.24368,-68.19450048,-158.963976,-3.51562,27
-11.69149648,-1.067462739,167.90688,199.9686927,8.67158,-69.06377391,-158.9639685,-0.70312,28
-11.69149648,-1.067462739,167.58688,199.9686927,8.00944,-69.06377391,-158.9639685,-0.70312,29
-11.69149648,-1.067462739,167.26688,199.9686927,9.54237,-69.06377391,-158.9639685,-0.70312,30
-11.69149648,-1.067462739,166.95688,199.9686927,12.18984,-69.06377391,-158.9639685,-0.70312,31
-11.69149648,-1.067462739,166.62688,199.9686927,10.85212,-69.06377391,-158.9639685,-0.70312,32
-11.69149485,0.044486529,194.40188,199.839983,32.09475,-69.06377391,-158.9639685,27.42188,33
-11.69149485,0.044486529,194.08188,199.839983,32.83833,-69.06377391,-158.9639685,27.42188,34
-11.69149485,0.044486529,165.64688,199.839983,32.83789,-69.06377391,-158.9639685,-0.70312,35
-11.69149485,0.044486529,166.75312,199.839983,8.94911,-69.06377391,-158.9639685,0.70312,36
-11.69149485,0.044486529,165.03688,199.839983,11.88933,-69.06377391,-158.9639685,-0.70312,37
-11.69149485,0.044486529,251.22125,199.839983,8.99827,-69.06377391,-158.9639685,85.78125,38
-11.69149485,0.044486529,164.41688,199.839983,9.41395,-69.06377391,-158.9639685,-0.70312,39
-11.69149485,0.044486529,162.69062,199.839983,10.83283,-69.06377391,-158.9639685,-2.10938,40
-11.69149485,0.044486529,163.77688,199.9686902,8.49737,-69.06376429,-157.8520193,-0.70312,41
-11.69149485,0.044486529,164.82312,199.9686902,9.45838,-69.06376429,-157.8520193,0.70312,42
-11.69149485,0.044486529,164.50312,199.9686902,7.63209,-69.06376429,-157.8520193,0.70312,43
-11.69149485,0.044486529,152.23,199.9686902,7.92484,-69.06376429,-157.8520193,-11.25,44
-11.69149485,0.044486529,161.01062,199.9686902,13.15738,-69.06376429,-157.8520193,-2.10938,45
-11.69149485,0.044486529,159.25438,199.9686902,7.64836,-69.06376429,-157.8520193,-3.51562,46
-11.69149485,0.044486529,158.88438,199.9686902,7.89483,-69.06376429,-157.8520193,-3.51562,47
-11.69149485,0.044486529,159.94062,199.9686902,9.18451,-69.06376429,-157.8520193,-2.10938,48
-11.69149485,0.044486529,158.21438,199.9686902,9.18433,-69.06376429,-157.8520193,-3.51562,49
-11.69149485,0.044486529,200.05188,199.9686902,26.96832,-69.06376429,-157.8520193,38.67188,50
-11.69149485,0.044486529,164.56562,199.9686902,17.42628,-69.06376429,-157.8520193,3.51562,51
-11.69149485,0.044486529,197.99562,199.9686902,26.67437,-69.06376429,-157.8520193,37.26562,52
-11.69149485,0.044486529,201.17125,199.9686902,24.66838,-69.06376429,-157.8520193,40.78125,53
-11.69149322,1.156435795,197.33562,199.8399804,26.17266,-69.06376429,-157.8520193,37.26562,54
-11.69149322,1.156435795,197.04562,199.8399804,27.06221,-69.06376429,-157.8520193,37.26562,55
-11.69149322,1.156435795,198.12188,199.8399804,24.80083,-69.06376429,-157.8520193,38.67188,56
-11.69149322,1.156435795,158.39688,199.8399804,10.32998,-69.06376429,-157.8520193,-0.70312,57
-11.69149322,1.156435795,196.01562,199.8399804,28.50432,-69.06376429,-157.8520193,37.26562,58
-11.69149322,1.156435795,193.55625,199.8399804,27.41928,-69.06376429,-157.8520193,35.15625,59
-11.69149322,1.156435795,195.35562,199.8399804,27.3499,-69.06376429,-157.8520193,37.26562,60
-11.69149322,1.156435795,198.52125,199.8399804,27.50203,-69.06376429,-157.8520193,40.78125,61
-11.69149322,1.156435795,198.17125,199.8399804,27.17347,-69.06376429,-157.8520193,40.78125,62
-11.69149322,1.156435795,199.2375,199.8399804,28.02365,-69.06376429,-157.8520193,42.1875,63
-11.69149322,1.156435795,198.9275,199.8399804,26.47737,-69.06376429,-157.8520193,42.1875,64
-11.69149322,1.156435795,155.69688,199.8399804,10.24386,-69.06376429,-157.8520193,-0.70312,65
-11.69149322,1.156435795,153.99062,199.8399804,11.31719,-69.06376429,-157.8520193,-2.10938,66
-11.69149322,1.156435795,153.65062,199.8399804,6.96276,-69.06376429,-157.8520193,-2.10938,67
-11.69149322,1.156435795,154.71688,199.8399804,10.80366,-69.06376429,-157.8520193,-0.70312,68
-11.69149322,1.156435795,153.00062,199.8399804,10.27529,-69.06376429,-157.8520193,-2.10938,69
-11.69149322,1.156435795,154.06688,200.1166415,11.16291,-69.9330376,-157.8520117,-0.70312,70
-11.69149322,1.156435795,153.69688,200.1166415,8.42342,-69.9330376,-157.8520117,-0.70312,71
-11.69149322,1.156435795,153.36688,200.1166415,7.01719,-69.9330376,-157.8520117,-0.70312,72
-11.69149322,1.156435795,153.00688,200.1166415,10.48291,-69.9330376,-157.8520117,-0.70312,73
-11.69149322,1.156435795,152.70688,200.1166415,9.43479,-69.9330376,-157.8520117,-0.70312,74
-11.69149159,2.26838506,152.36688,199.9880381,9.14918,-69.9330376,-157.8520117,-0.70312,75
-11.69149159,2.26838506,152.02688,199.9880381,9.83414,-69.9330376,-157.8520117,-0.70312,76
-11.69149159,2.26838506,151.66688,199.9880381,8.57041,-69.9330376,-157.8520117,-0.70312,77
-11.69149159,2.26838506,151.31688,199.9880381,8.2802,-69.9330376,-157.8520117,-0.70312,78
-11.69149159,2.26838506,148.08438,199.9880381,10.3701,-69.9330376,-157.8520117,-3.51562,79
-11.69149159,2.26838506,150.50688,199.9880381,7.79563,-69.9330376,-157.8520117,-0.70312,80
-11.69149159,2.26838506,148.74062,199.9880381,7.62649,-69.9330376,-157.8520117,-2.10938,81
-11.69149159,2.26838506,192.6975,199.9880381,22.3242,-69.9330376,-157.8520117,42.1875,82
-11.69149159,2.26838506,192.3375,199.9880381,25.02673,-69.9330376,-157.8520117,42.1875,83
-11.69149159,2.26838506,149.08688,199.9880381,12.25711,-69.9330376,-157.8520117,-0.70312,84
-11.69149159,2.26838506,148.72688,199.9880381,10.01074,-69.9330376,-157.8520117,-0.70312,85
-11.69149159,2.26838506,148.39688,199.9880381,7.85095,-69.9330376,-157.8520117,-0.70312,86
-11.69149159,2.26838506,146.62062,199.9880381,10.33712,-69.9330376,-157.8520117,-2.10938,87
-11.69149159,2.26838506,194.77625,200.1166389,29.18275,-69.93302787,-156.7400624,46.40625,88
-12.56074747,2.26838638,145.92062,199.8399779,10.51403,-69.93302787,-156.7400624,-2.10938,89
-12.56074747,2.26838638,181.44,199.8399779,21.48394,-69.93302787,-156.7400624,33.75,90
-12.56074747,2.26838638,193.73625,199.8399779,28.68048,-69.93302787,-156.7400624,46.40625,91
-12.56074747,2.26838638,193.39625,199.8399779,28.68018,-69.93302787,-156.7400624,46.40625,92
-12.56074747,2.26838638,197.265,199.8399779,22.94821,-69.93302787,-156.7400624,50.625,93
-12.56074747,2.26838638,194.1125,199.8399779,23.35588,-69.93302787,-156.7400624,47.8125,94
-12.56074747,2.26838638,142.44438,199.8399779,10.42318,-69.93302787,-156.7400624,-3.51562,95
-12.56074747,2.26838638,143.47062,199.8399779,7.95043,-69.93302787,-156.7400624,-2.10938,96
-12.56074572,3.380335648,144.51688,199.7128511,9.93917,-69.93302787,-156.7400624,-0.70312,97
-12.56074572,3.380335648,144.12688,199.7128511,9.20789,-69.93302787,-156.7400624,-0.70312,98
-12.56074572,3.380335648,143.72688,199.7128511,9.56883,-69.93302787,-156.7400624,-0.70312,99
-12.56074572,3.380335648,143.34688,199.7128511,9.41417,-69.93302787,-156.7400624,-0.70312,100
-12.56074572,3.380335648,143.00688,199.7128511,10.35647,-69.93302787,-156.7400624,-0.70312,101
-12.56074572,3.380335648,144.06312,199.7128511,9.32553,-69.93302787,-156.7400624,0.70312,102
-12.56074572,3.380335648,140.89062,199.7128511,7.4293,-69.93302787,-156.7400624,-2.10938,103
-12.56074572,3.380335648,198.21688,199.7128511,25.69921,-69.93302787,-156.7400624,55.54688,104
-12.56074572,3.380335648,141.58688,199.7128511,7.08782,-69.93302787,-156.7400624,-0.70312,105
-12.56074572,3.380335648,141.18688,199.9880355,10.03435,-70.80230105,-156.7400548,-0.70312,106
