obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-38.63840237,6.716267033,245.25625,0,21.99705,-70.80070417,23.39572639,57.65625,1
-38.63840237,6.716267033,188.49312,297.41101,6.71315,-70.80070417,23.39572639,0.70312,2
-38.63840237,6.716267033,238.605,297.41101,21.64465,-70.80070417,23.39572639,50.625,3
-38.63840237,6.716267033,221.93,297.41101,14.12867,-70.80070417,23.39572639,33.75,4
-38.63840237,6.716267033,187.65688,297.41101,7.29051,-70.80070417,23.39572639,-0.70312,5
-38.63840237,6.716267033,243.40375,297.41101,23.28947,-70.80070417,23.39572639,54.84375,6
-38.63840237,6.716267033,233.05688,297.41101,20.80125,-70.80070417,23.39572639,44.29688,7
-38.63840237,6.716267033,248.70562,297.41101,20.31019,-70.80070417,23.39572639,59.76562,8
-38.63840237,6.716267033,255.25375,297.41101,23.92451,-70.80070417,23.39572639,66.09375,9
-38.63840237,6.716267033,251.92812,297.41101,27.15794,-70.80070417,23.39572639,62.57812,10
-38.63840237,6.716267033,247.18625,297.41101,28.51559,-70.80070417,23.39572639,57.65625,11
-38.63840237,6.716267033,244.57375,297.41101,28.09123,-70.80070417,23.39572639,54.84375,12
-38.63840237,6.716267033,247.57625,297.41101,26.54423,-70.80070417,23.39572639,57.65625,13
-38.63840237,6.716267033,249.87562,297.41101,26.94175,-70.80070417,23.39572639,59.76562,14
-38.63840237,6.716267033,250.07562,297.41101,27.20391,-70.80070417,23.39572639,59.76562,15
-38.63840237,6.716267033,244.64062,297.41101,31.75838,-70.80070417,23.39572639,54.14062,16
-38.63840237,6.716267033,242.72125,297.41101,31.23806,-70.80070417,23.39572639,52.03125,17
-38.63840237,6.716267033,243.61438,297.41101,27.17961,-70.80070417,23.39572639,52.73438,18
-38.63840237,6.716267033,243.79438,297.41101,26.88547,-70.80070417,23.39572639,52.73438,19
-38.63840237,6.716267033,249.60938,297.41101,23.71917,-70.80070417,23.39572639,58.35938,20
-38.63840237,6.716267033,251.21562,297.41101,24.41974,-70.80070417,23.39572639,59.76562,21
-38.63840237,6.716267033,249.27625,297.41101,26.7356,-70.80070417,23.39572639,57.65625,22
-38.63840237,6.716267033,249.46625,297.41101,26.7356,-70.80070417,23.39572639,57.65625,23
-38.63840237,6.716267033,248.95312,297.41101,29.15442,-70.80070417,23.39572639,56.95312,24
-38.63840237,6.716267033,244.20125,297.41101,26.75562,-70.80070417,23.39572639,52.03125,25
-38.63840237,6.716267033,242.975,295.8279821,24.26242,-70.80071403,22.28377712,50.625,26
-38.63840237,6.716267033,252.30562,296.4488104,26.43178,-69.93146033,22.28376946,59.76562,27
-38.63840237,6.716267033,252.48562,294.7937825,22.08254,-69.93147006,21.1718202,59.76562,28
-38.63840237,6.716267033,245.63438,294.7937825,23.52867,-69.93147006,21.1718202,52.73438,29
-38.63840237,6.716267033,243.705,293.0933906,20.32318,-69.9314798,20.05987093,50.625,30
-38.63840237,6.716267033,250.91625,291.9018066,20.13531,-69.06223547,18.9479141,57.65625,31
-38.63840237,6.716267033,227.2,290.6180575,14.56923,-68.1929909,17.83595736,33.75,32
-38.63840237,6.716267033,251.27625,288.7066899,23.09362,-68.19300039,16.7240081,57.65625,33
-38.63840237,6.716267033,244.415,286.7511606,25.44396,-68.19300989,15.61205883,50.625,34
-38.63840237,6.716267033,244.585,284.7546279,25.44385,-68.19301938,14.50010957,50.625,35
-38.63840237,6.716267033,244.775,282.720781,24.01532,-68.19302887,13.3881603,50.625,36
-38.63840237,6.716267033,251.97625,280.653823,29.77377,-68.19303837,12.27621103,57.65625,37
-38.63840237,6.716267033,255.68188,278.5584379,27.86341,-68.19304786,11.16426177,61.17188,38
-38.63840237,6.716267033,274.83625,274.3032208,33.08394,-68.19306685,8.940363233,80.15625,39
-38.63840237,6.716267033,275.00625,272.1546482,36.07561,-68.19307635,7.828413967,80.15625,40
-38.63840237,6.716267033,275.18625,269.9999992,36.07561,-68.19308584,6.7164647,80.15625,41
-38.63840237,6.716267033,269.02812,267.8453508,39.68298,-68.19309533,5.604515435,73.82812,42
-38.63840237,6.716267033,260.0575,265.69678,38.52174,-68.19310483,4.492566167,64.6875,43
-38.63840237,6.716267033,260.2375,263.5602616,37.05403,-68.19311432,3.380616902,64.6875,44
-38.63840237,6.716267033,260.4075,261.44157,37.05371,-68.19312382,2.268667635,64.6875,45
-38.63840237,6.716267033,258.46812,257.279238,35.31824,-68.19314281,0.044769103,62.57812,46
-37.76914697,6.716262876,255.83562,255.6493085,38.0062,-68.1931523,-1.067180165,59.76562,47
-37.76914697,6.716262876,253.90625,253.7017319,38.12853,-68.19316179,-2.179129431,57.65625,48
-37.76914697,6.716262876,251.26375,251.2933521,37.49012,-67.3239148,-3.291086072,54.84375,49
-37.76914697,6.716262876,249.33438,247.517423,37.90924,-67.32393355,-5.514984606,52.73438,50
-37.76914697,6.716262876,250.2175,245.7017437,38.39203,-67.32394292,-6.62693387,53.4375,51
-37.76914697,6.716262876,243.34625,243.9365583,36.3144,-67.3239523,-7.738883137,46.40625,52
-37.76914697,6.716262876,239.3075,240.5617636,35.59155,-67.32397104,-9.96278167,42.1875,53
-37.76914697,6.716262876,221.89938,238.9531571,33.89404,-67.32398042,-11.07473094,24.60938,54
-37.76914697,6.716262876,245.97562,237.3971335,33.00583,-67.32398979,-12.1866802,48.51562,55
-37.76914697,6.716262876,232.79625,233.6281448,32.82298,-66.45475084,-14.41058602,35.15625,56
-37.76914697,6.716262876,231.57,232.2146886,31.31811,-66.45476009,-15.52253528,33.75,57
-37.76914697,6.716262876,228.9175,229.5425998,32.12341,-66.4547786,-17.74643382,30.9375,58
-37.76914697,6.716262876,215.74812,228.2811142,17.26553,-66.45478785,-18.85838308,17.57812,59
-37.76914697,6.716262876,215.91812,226.187189,17.26553,-65.5855388,-19.97033953,17.57812,60
-37.76914697,6.716262876,196.41062,223.8947565,6.78395,-65.58555706,-22.19423807,-2.10938,61
-37.76914697,6.716262876,224.70562,222.8154258,34.48534,-65.5855662,-23.30618733,26.01562,62
-37.76914697,6.716262876,224.1725,220.8762353,31.23199,-64.71631654,-24.41814369,25.3125,63
-37.76914697,6.716262876,222.24312,218.9313319,36.76325,-64.71633456,-26.64204222,23.20312,64
-37.76914697,6.716262876,219.61062,218.0162889,35.8092,-64.71634357,-27.75399149,20.39062,65
