obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-37.769168,2.26846581,231.06938,275.7667055,19.61784,-70.80086189,5.604538127,69.60938,1
-37.769168,2.26846581,205.89688,275.7667055,15.98353,-70.80086189,5.604538127,44.29688,2
-37.769168,2.26846581,206.01688,275.7667055,15.9834,-70.80086189,5.604538127,44.29688,3
-37.769168,2.26846581,206.13688,275.7667055,15.9834,-70.80086189,5.604538127,44.29688,4
-37.769168,2.26846581,233.65875,275.7667055,20.56386,-70.80086189,5.604538127,71.71875,5
-37.769168,2.26846581,206.34688,275.6198001,21.32937,-71.6701174,5.60454588,44.29688,6
-37.769168,2.26846581,242.30625,275.6198001,19.86689,-71.6701174,5.60454588,80.15625,7
-37.769168,2.26846581,174.90625,275.6198001,20.19668,-71.6701174,5.60454588,12.65625,8
-37.769168,2.26846581,171.48062,275.6198001,18.99902,-71.6701174,5.60454588,9.14062,9
-37.769168,2.26846581,220.07625,275.6198001,18.48594,-71.6701174,5.60454588,57.65625,10
-37.769168,2.26846581,225.07812,275.6198001,19.2934,-71.6701174,5.60454588,62.57812,11
-37.769168,2.26846581,161.87688,275.6198001,20.323,-71.6701174,5.60454588,-0.70312,12
-37.769168,2.26846581,152.80625,275.6198001,21.02396,-71.6701174,5.60454588,-9.84375,13
-37.769168,2.26846581,147.95438,275.6198001,22.69018,-71.6701174,5.60454588,-14.76562,14
-37.769168,2.26846581,148.01438,275.6198001,22.68994,-71.6701174,5.60454588,-14.76562,15
-37.769168,2.26846581,234.54875,275.6198001,20.88415,-71.6701174,5.60454588,71.71875,16
-37.769168,2.26846581,184.66688,275.6198001,21.19638,-71.6701174,5.60454588,21.79688,17
-37.769168,2.26846581,220.56625,275.6198001,19.60223,-71.6701174,5.60454588,57.65625,18
-37.769168,2.26846581,220.60625,275.6198001,19.60205,-71.6701174,5.60454588,57.65625,19
-37.769168,2.26846581,183.37062,275.6198001,23.1969,-71.6701174,5.60454588,20.39062,20
-37.769168,2.26846581,181.98438,275.6198001,22.04189,-71.6701174,5.60454588,18.98438,21
-37.769168,2.26846581,189.73875,273.7532159,22.58307,-71.67012738,4.492596612,26.71875,22
-37.769168,2.26846581,205.2175,273.7532159,23.37122,-71.67012738,4.492596612,42.1875,23
-37.769168,2.26846581,185.54,273.7532159,20.97604,-71.67012738,4.492596612,22.5,24
-37.76916275,3.380415077,165.14938,271.8786229,18.77291,-71.67012738,4.492596612,2.10938,25
-37.76916275,3.380415077,186.23312,271.8786229,21.32072,-71.67012738,4.492596612,23.20312,26
-37.76916275,3.380415077,186.22312,271.8786229,21.32031,-71.67012738,4.492596612,23.20312,27
-37.76916275,3.380415077,186.20312,271.8786229,21.32031,-71.67012738,4.492596612,23.20312,28
-37.76916275,3.380415077,231.18312,271.8786229,19.28723,-71.67012738,4.492596612,68.20312,29
-37.76916275,3.380415077,174.91312,271.8786229,23.70965,-71.67012738,4.492596612,11.95312,30
-37.76916275,3.380415077,189.63875,271.8786229,25.2728,-71.67012738,4.492596612,26.71875,31
-37.76916275,3.380415077,189.60875,271.8786229,25.27246,-71.67012738,4.492596612,26.71875,32
-37.76916275,3.380415077,186.74625,271.8786229,25.62954,-71.67012738,4.492596612,23.90625,33
-37.76916275,3.380415077,191.62812,271.8786229,26.27972,-71.67012738,4.492596612,28.82812,34
-37.76916275,3.380415077,185.95312,271.8786229,26.65935,-71.67012738,4.492596612,23.20312,35
-37.76916275,3.380415077,181.68438,271.8786229,21.76096,-71.67012738,4.492596612,18.98438,36
-37.76916275,3.380415077,175.29625,271.8786229,23.05481,-71.67012738,4.492596612,12.65625,37
-37.76916275,3.380415077,194.21062,271.8786229,22.66601,-71.67012738,4.492596612,31.64062,38
-37.76916275,3.380415077,189.21875,271.8786229,23.74545,-71.67012738,4.492596612,26.71875,39
-37.76916275,3.380415077,189.85188,271.8786229,25.28623,-71.67012738,4.492596612,27.42188,40
-37.76916275,3.380415077,185.57312,271.8786229,23.27276,-71.67012738,4.492596612,23.20312,41
-37.76916275,3.380415077,157.36812,271.8786229,24.91884,-71.67012738,4.492596612,-4.92188,42
-37.76916275,3.380415077,151.65312,271.8786229,25.20519,-71.67012738,4.492596612,-10.54688,43
-37.76916275,3.380415077,158.60438,271.8786229,19.73556,-71.67012738,4.492596612,-3.51562,44
-37.76916275,3.380415077,131.0925,271.8786229,18.79448,-71.67012738,4.492596612,-30.9375,45
-37.76916275,3.380415077,206.23688,271.8316897,18.79443,-72.53938302,4.49260446,44.29688,46
-37.76916275,3.380415077,184.35,271.8316897,20.87825,-72.53938302,4.49260446,22.5,47
-37.76916275,3.380415077,241.89625,271.8316897,20.23008,-72.53938302,4.49260446,80.15625,48
-37.76916275,3.380415077,159.53062,271.8316897,20.01794,-72.53938302,4.49260446,-2.10938,49
-37.76916275,3.380415077,181.93062,271.8316897,22.65172,-72.53938302,4.49260446,20.39062,50
-37.76916275,3.380415077,219.07625,271.8316897,19.8364,-72.53938302,4.49260446,57.65625,51
-37.76916275,3.380415077,164.82562,271.8316897,21.71808,-72.53938302,4.49260446,3.51562,52
-37.76916275,3.380415077,225.8875,271.8316897,21.91035,-72.53938302,4.49260446,64.6875,53
-37.76916275,3.380415077,207.48625,269.9999992,19.92137,-72.53939312,3.380655195,46.40625,54
-37.76916275,3.380415077,157.44438,269.9999992,24.75806,-72.53939312,3.380655195,-3.51562,55
