obs_x,obs_y,bearing_meas,bearing_true,snr_meas,target_x,target_y,bearing_body_meas,time
-62.10825483,12.2761614,260.21438,0,17.54733,-30.81520248,-18.85860011,7.73438,1
-62.10825483,12.2761614,204.17438,134.8543319,15.83901,-30.81520248,-18.85860011,-48.51562,2
-62.10825483,12.2761614,208.62312,134.8543319,17.28417,-30.81520248,-18.85860011,-44.29688,3
-62.10825483,12.2761614,252.46688,134.8543319,16.35194,-30.81520248,-18.85860011,-0.70312,4
-62.10825483,12.2761614,228.83062,134.8543319,16.58062,-30.81520248,-18.85860011,-24.60938,5
-62.10825483,12.2761614,229.13062,134.8543319,16.58057,-30.81520248,-18.85860011,-24.60938,6
-62.10825483,12.2761614,209.73312,133.812819,18.25486,-30.81519819,-17.74665085,-44.29688,7
-62.10825483,12.2761614,213.51875,133.812819,19.15331,-30.81519819,-17.74665085,-40.78125,8
-62.10825483,12.2761614,210.26312,133.812819,17.02034,-30.81519819,-17.74665085,-44.29688,9
-62.10825483,12.2761614,204.165,133.812819,20.56509,-30.81519819,-17.74665085,-50.625,10
-62.10825483,12.2761614,210.71312,133.812819,16.45122,-30.81519819,-17.74665085,-44.29688,11
-62.10825483,12.2761614,210.88312,133.812819,16.45122,-30.81519819,-17.74665085,-44.29688,12
-62.10825483,12.2761614,232.17688,133.812819,19.43693,-30.81519819,-17.74665085,-23.20312,13
-62.10825483,12.2761614,223.21625,133.812819,15.11696,-30.81519819,-17.74665085,-32.34375,14
-62.10825483,12.2761614,227.615,133.812819,20.98728,-30.81519819,-17.74665085,-28.125,15
-62.10825483,12.2761614,231.28062,133.812819,19.41837,-30.81519819,-17.74665085,-24.60938,16
-62.10825483,12.2761614,232.13375,133.812819,10.60265,-30.81519819,-17.74665085,-23.90625,17
-62.10825483,12.2761614,226.65875,133.812819,14.15587,-30.81519819,-17.74665085,-29.53125,18
-62.10825483,12.2761614,222.56,133.812819,19.2471,-30.81519819,-17.74665085,-33.75,19
-62.10825483,12.2761614,255.73688,133.812819,7.41701,-30.81519819,-17.74665085,-0.70312,20
-62.10825483,12.2761614,219.29438,133.812819,17.6878,-30.81519819,-17.74665085,-37.26562,21
-62.10825483,12.2761614,214.4725,133.812819,16.67575,-30.81519819,-17.74665085,-42.1875,22
-62.10825483,12.2761614,210.39375,132.7336699,21.83194,-30.8151939,-16.63470158,-46.40625,23
-62.10825483,12.2761614,214.7325,132.7336699,18.99231,-30.8151939,-16.63470158,-42.1875,24
-62.10825483,12.2761614,218.35812,132.7336699,18.46976,-30.8151939,-16.63470158,-38.67188,25
-62.10825483,12.2761614,208.64438,132.7336699,18.98319,-30.8151939,-16.63470158,-48.51562,26
